ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=cd2928b1809b7ce9,"Sales Support Manager, Customer Support...",Ericsson 서울,,"Support sales organization in generating short and long- term profitable business for Ericsson by working closely as CSR, part..."
https://kr.indeed.com/viewjob?jk=002819cee113c921,Beauty Care Sales Intern,Henkel 서울,,"체험형 인턴십 JOB ID: 21015722 Contract & Job type: Full Time, Limited Term Contact information for application-related questions..."
https://kr.indeed.com/viewjob?jk=92116d60e37408ad,Operations Manager,IAR Systems 서울,,most important players... market will create long- term customer value... unique market position. Our Culture Equal...
https://kr.indeed.com/viewjob?jk=3b42fae358bb7b7a,[해외취업] 플라스틱 사출&무역물류 전문기업 / 생산관리 부문 인턴사원,사이다링크 서울 논현동,,your outcome in mind. We strive to create a long term personalized relationship with all our clients by demonstrating premium...
https://kr.indeed.com/viewjob?jk=d54d8d83830396a4,한국대표부 민간파트너십팀 커뮤니케이션 담당 직원,유엔난민기구 서울 을지로동,,PSP Officer (Communications) in line... 2021-2025 Long- Term Strategy for PSP Korea programme. I. Summary of Position...
https://kr.indeed.com/viewjob?jk=e5734861c6e39637,Young Leaders Program-Product Line,Electrolux 3.8 서울,,"Secure mid/long term product portfolio... Work with team for short- term and long- term planning, P&L projection, financial..."
https://kr.indeed.com/viewjob?jk=c1b5d2a3187799ab,Services Executive,ServiceNow 서울,,educate and engage others on longer term sources for organic growth. Demonstrates... promoting long- term solutions. Ensures...
https://kr.indeed.com/viewjob?jk=4f958eb4bfd638f4,"Intern, Content Acquisition & Partnershi...",Rakuten Viki Singapore 서울,,content and developing partnership opportunities... contract term is a minimum of 6 months... position will begin...
https://kr.indeed.com/viewjob?jk=23ec9f97a2bd1de4,Financial Analyst (Fixed-term),Thermo Fisher Scientific 3.5 서울,,"At Thermo Fisher Scientific, each one of our 75,000 extraordinary minds has a unique story to tell. Join us and contribute..."
https://kr.indeed.com/viewjob?jk=1b28e89d02afb811,[Consumer Health] Korea Supply Chain Hea...,Johnson & Johnson Family of Companies 4.2 서울,,"oriented and ability to follow through on committed tasks Long- term thinking, innovative & collaborative working Min. fluent..."
https://kr.indeed.com/viewjob?jk=a8fc5759bd1482b2,DIRECTOR-SALES,Harman International 서울,,"mid-long term strategy and business... management, Successful NPI, Short term and mid-long term product planning, Product..."
https://kr.indeed.com/viewjob?jk=3a971b518fef36bf,Application Scientist,Oxford Instruments Plc 서울,,partners and market conditions consistent... long- term goals... company. Carry out customer demonstrations...
https://kr.indeed.com/viewjob?jk=2445e1ef103a4366,Legal Counsel,Microsoft 4.2 서울,,"agreements, term sheets, MOUs), Serve... short term and shaping a favorable business environment... longer term..."
https://kr.indeed.com/viewjob?jk=b2483f2b615e5bbf,"General Manager, South Korea",Moderna 서울,,"from short- term oriented stakeholders... following competencies are critical to succeed at Moderna, Inc... long- term..."
https://kr.indeed.com/viewjob?jk=278e2955b61b60d1,"Recruiter, Seoul, Korea",Tesla 서울,,All applications must be submitted online and contain an English CV... position is fixed- term direct contract position.
https://kr.indeed.com/viewjob?jk=b0c20a3545bb3ed3,Senior IT Manager,SAIC 4.0 서울,,"management and results are assessed from a relatively long- term perspective. Externally, the daily operations, maintenance..."
https://kr.indeed.com/viewjob?jk=cecb5a32cdf31f58,Marketing Coordinator,FedEx Express APAC 서울,,"Job Category: Marketing Time Type: Full Time Job Type: Fixed Term Job Posting End Date: 2021-05-29 Digital Content, Digital..."
https://kr.indeed.com/viewjob?jk=3cac25900a93cd09,Member Marketing Director,Nike 4.1 서울,,"Brand Creative, Brand Management, and Product— to create a long- term roadmap of projects to optimize and enhance the overall..."
https://kr.indeed.com/viewjob?jk=65d0a786cf0580d4,"Intern, Content Operations",Rakuten Viki Singapore 서울,,Operations team in both Korea and Singapore... contract term is a minimum of 6 months... position will begin as soon...
https://kr.indeed.com/viewjob?jk=d469060f82265b74,CEO & GM Assistant,BNP Paribas 3.9 서울,,skills Primary Location: KR-11-Seoul (City) Job Type: Fixed Term Job: PROCUREMENT OR SECURITY OR FACILITIES MANAGEMENT...
https://kr.indeed.com/viewjob?jk=ce37da3523abb35c,CIB - Equity Research - Research Analyst...,"JPMorgan Chase Bank, N.A. 서울",,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
https://kr.indeed.com/viewjob?jk=595393fb1050bd30,Sales Manager,TopUp Learning London 서울 • 원격 근무,"연봉 19,000,000원 - 24,000,000원",list/database of prospect clients · Maintaining short- and long- term business development plans · Maintaining database...
